date,Appliances(Wmin),lights(Wmin),T1,RH_1,T2,RH_2,T3,RH_3,T_out,RH_out
03-10-22 23:00,60,30,21,70,19.2,70,25.6,75,3.00E+01,82
03-10-22 23:02,60,30,21,70,19.2,70,25.6,75,3.00E+01,82
03-10-22 23:04,50,30,21,70,19.2,70,25.6,75,3.00E+01,82
03-10-22 23:06,50,40,21,70,19.2,70,25.6,75,3.00E+01,82
03-10-22 23:08,60,40,19.89,70,19.2,70,25.6,75,3.00E+01,82
03-10-22 23:10,50,40,19.89,70,19.2,70,25.6,74,3.00E+01,82
03-10-22 23:12,60,50,19.89,70,19.2,70,25.6,75,3.00E+01,82
03-10-22 23:14,60,50,22.3,70,19.2,70,25.6,74,3.00E+01,82
03-10-22 23:16,60,40,22.3,70,19.2,70,25.6,75,3.00E+01,82
03-10-22 23:18,70,40,22.3,71,19.23,71,25.6,75,3.00E+01,82
03-10-22 23:20,90,70,22.3,71,19.2,71,25.6,75,3.00E+01,82
03-11-22 22:50,110,60,24.06,69,21,70,27.3,74,3.20E+01,80
03-11-22 22:52,110,50,24.06,69,21,70,27.3,74,3.20E+01,80
03-11-22 22:54,110,40,24.06,69,21,70,27.3,74,3.20E+01,80
03-11-22 22:56,100,10,24.06,69,21,70,27.3,74,3.20E+01,80
03-11-22 22:58,100,10,24.06,69,21,70,27.3,74,3.20E+01,80
03-11-22 23:00,90,10,24.06,69,21,70,27.3,74,3.20E+01,80
03-11-22 23:02,70,30,24.06,69,21,70,27.3,74,3.20E+01,80
03-11-22 23:04,80,30,24.06,69,21,70,27.3,74,3.20E+01,80
03-11-22 23:06,110,40,24.06,69,21,70,27.3,74,3.20E+01,80
03-12-22 23:20,110,20,25,72,22.3,71,27.6,75,3.20E+01,83
03-12-22 23:22,110,40,25,72,22.3,71,27.6,75,3.20E+01,83
03-12-22 23:24,110,40,25,72,22.3,71,27.6,75,3.20E+01,83
03-12-22 23:26,110,40,25,72,22.3,71,27.6,75,3.20E+01,83
03-12-22 23:28,110,30,25,72,22.3,71,27.6,75,3.20E+01,83
03-12-22 23:30,110,20,25,72,22.3,71,27.6,75,3.20E+01,83
03-12-22 23:32,100,30,25,72,22.3,71,27.6,75,3.20E+01,83
03-12-22 23:34,100,20,25,72,22.3,71,27.6,75,3.20E+01,83
03-12-22 23:36,100,20,25,72,22.3,71,27.6,75,3.20E+01,83
03-12-22 23:38,100,20,25,72,22.3,71,27.6,75,3.20E+01,83
03-12-22 23:40,110,20,25,72,22.3,71,27.6,75,3.20E+01,83
03-12-22 23:42,110,20,25,72,22.3,71,27.6,75,3.20E+01,83
3/13/2022 22:20,110,20,21.6,70,18.9,70,23.7,73,3.30E+01,82
3/13/2022 22:22,110,30,21.6,70,18.9,70,23.7,73,3.30E+01,82
3/13/2022 22:24,110,20,21.6,70,18.9,70,23.7,73,3.30E+01,82
3/13/2022 22:26,60,20,21.6,70,18.9,70,23.7,73,3.30E+01,82
3/13/2022 22:28,60,20,21.6,70,18.9,71,23.7,73,3.30E+01,82
3/13/2022 22:30,60,20,21.6,70,18.9,70,23.7,73,3.30E+01,82
3/13/2022 22:32,50,10,21.6,70,18.9,70,23.8,73,3.30E+01,82
3/13/2022 22:34,70,20,21.5,70,18.9,70,23.7,73,3.30E+01,82
3/13/2022 22:36,60,20,21.5,70,18.9,70,23.8,73,3.30E+01,82
3/13/2022 22:38,40,20,21.39,70,18.9,71,23.8,73,3.30E+01,82
3/13/2022 22:40,40,10,21.39,70,18.9,70,23.8,73,3.30E+01,82
3/13/2022 22:42,30,20,21.29,70,18.9,70,23.8,73,3.30E+01,82
3/13/2022 22:44,40,20,21.29,70,18.9,71,23.8,73,3.30E+01,82
3/13/2022 22:46,50,20,21.26,70,18.9,70,23.8,73,3.30E+01,82
3/14/2022 23:20,110,10,24.3,68,22.1,68,27.8,70,3.20E+01,80
3/14/2022 23:20,110,20,24.3,68,22.1,68,27.8,70,3.20E+01,80
3/14/2022 23:21,110,20,24.3,68,22.1,68,27.9,70,3.20E+01,80
3/14/2022 23:22,110,20,24.3,68,22.1,68,27.8,70,3.20E+01,80
3/14/2022 23:23,110,10,24.3,68,22.1,68,27.8,70,3.20E+01,80
3/14/2022 23:24,50,0,24.3,68,22.1,68,27.89,70,3.20E+01,80
3/14/2022 23:25,40,0,24.3,68,22.1,69,27.8,69,3.20E+01,80
3/14/2022 23:26,50,0,24.3,68,22.1,68,27.8,70,3.20E+01,80
3/14/2022 23:27,40,0,24.3,68,22.1,68,27.9,69,3.20E+01,80
3/14/2022 23:28,50,0,24.3,68,22.1,69,27.8,70,3.20E+01,80
3/14/2022 23:29,50,0,24.3,68,22.1,70,27.8,69,3.20E+01,80
3/14/2022 23:30,50,0,24.3,68,22.1,68,27.9,70,3.20E+01,80
3/14/2022 23:31,40,0,24.3,68,22.1,68,27.8,70,3.20E+01,80
3/14/2022 23:32,40,0,24.3,68,22.1,68,27.8,70,3.20E+01,80
3/14/2022 23:33,30,0,25,69,23.6,69,28.3,71,3.40E+01,80
3/14/2022 23:34,20,0,25,69,23.6,68,28.3,71,3.40E+01,80
3/14/2022 23:35,20,0,25,69,23.6,68,28.3,71,3.40E+01,80
3/14/2022 23:36,40,0,25,69,23.6,69,28.3,71,3.40E+01,80
3/14/2022 23:37,50,0,25,69,23.6,68,28.3,71,3.40E+01,80
3/14/2022 23:38,50,0,25,69,23.6,68,28.3,71,3.40E+01,80
3/14/2022 23:39,40,0,25,69,23.6,68,28.3,71,3.40E+01,80
3/14/2022 23:40,50,0,25,69,23.6,68,28.3,71,3.40E+01,80
3/14/2022 23:41,40,0,25,69,23.6,68,28.4,71,3.40E+01,80
3/15/2022 21:30,40,0,26,69,23.6,73,28.3,71,3.40E+01,80
3/15/2022 21:32,40,0,26,73,23.6,73,28.3,74,3.40E+01,84
3/15/2022 21:34,60,0,26,73,23.6,73,28.3,74,3.40E+01,84
3/15/2022 21:36,50,0,26,73,23.6,73,28.3,74,3.40E+01,84
3/15/2022 21:38,50,0,26,73,23.6,73,28.3,74,3.40E+01,84
3/15/2022 21:40,40,0,26,73,23.6,73,28.4,74,3.40E+01,84
3/15/2022 21:42,40,0,26,73,23.6,73,28.4,74,3.40E+01,84
3/15/2022 21:44,40,0,26,73,23.6,73,26.4,74,3.40E+01,84
3/15/2022 21:46,40,0,26,73,23.6,73,28.3,74,3.40E+01,84
3/15/2022 21:48,50,0,26,73,23.6,73,28.3,74,3.40E+01,84
3/15/2022 21:50,70,10,26,73,23.6,73,28.3,74,3.40E+01,84
3/16/2022 21:20,40,0,28,72,25.6,73,30.5,74,3.50E+01,81
3/16/2022 21:22,30,0,28,71,25.6,71,30.5,72,3.50E+01,81
3/16/2022 21:24,20,10,28,71,25.6,71,30.6,72,3.50E+01,81
3/16/2022 21:26,30,0,28,71,25.6,71,30.5,73,3.50E+01,81
3/16/2022 21:28,40,10,28,71,25.6,71,30.7,72,3.50E+01,81
3/16/2022 21:30,50,10,28,71,25.6,72,30.5,73,3.50E+01,81
3/16/2022 21:32,60,20,28,71,25.6,71,30.6,72,3.50E+01,81
3/16/2022 21:34,60,20,28,71,25.6,72,30.5,73,3.50E+01,81
3/16/2022 21:36,70,20,28,71,25.6,71,30.5,74,3.50E+01,81
3/16/2022 21:38,60,30,28,71,25.6,72,30.6,73,3.50E+01,81
3/16/2022 21:40,110,20,28,71,25.6,71,30.5,72,3.50E+01,81
3/16/2022 21:42,110,30,28,71,25.6,71,30.5,72,3.50E+01,81
3/16/2022 21:44,90,10,28,71,25.6,71,30.5,72,3.50E+01,81
